model,nominal,empirical,deviation
lightgbm,0.1,0.1736778846153846,0.0736778846153846
lightgbm,0.2,0.2656750801282051,0.06567508012820511
lightgbm,0.3,0.3391426282051282,0.039142628205128205
lightgbm,0.4,0.4071514423076923,0.007151442307692268
lightgbm,0.5,0.47185496794871795,-0.02814503205128205
lightgbm,0.6,0.5349058493589743,-0.06509415064102564
lightgbm,0.7,0.598457532051282,-0.10154246794871791
lightgbm,0.8,0.6687199519230769,-0.13128004807692317
lightgbm,0.9,0.7564102564102564,-0.14358974358974363
timesfm,0.1,0.08153044871794872,-0.018469551282051286
timesfm,0.2,0.16641626602564102,-0.03358373397435899
timesfm,0.3,0.24894831730769232,-0.05105168269230767
timesfm,0.4,0.34004407051282054,-0.05995592948717948
timesfm,0.5,0.44225761217948717,-0.05774238782051283
timesfm,0.6,0.5484274839743589,-0.05157251602564106
timesfm,0.7,0.6609074519230769,-0.039092548076923084
timesfm,0.8,0.7719350961538461,-0.0280649038461539
timesfm,0.9,0.8907251602564102,-0.00927483974358978
timesfm_ctx896,0.1,0.08158052884615384,-0.018419471153846165
timesfm_ctx896,0.2,0.1684695512820513,-0.03153044871794872
timesfm_ctx896,0.3,0.25801282051282054,-0.04198717948717945
timesfm_ctx896,0.4,0.3525641025641026,-0.047435897435897434
timesfm_ctx896,0.5,0.453125,-0.046875
timesfm_ctx896,0.6,0.5620492788461539,-0.03795072115384612
timesfm_ctx896,0.7,0.6711237980769231,-0.028876201923076827
timesfm_ctx896,0.8,0.7827524038461539,-0.01724759615384619
timesfm_ctx896,0.9,0.901542467948718,0.0015424679487179294
