model,h,PICP_80,width_80
lightgbm,1,0.5408653846153846,6098.281946917078
lightgbm,2,0.5793269230769231,8458.36276183953
lightgbm,3,0.5576923076923077,9677.863037944564
lightgbm,4,0.5144230769230769,10488.749967718342
lightgbm,5,0.5480769230769231,10841.887554544981
lightgbm,6,0.5769230769230769,11127.832787066769
lightgbm,7,0.4951923076923077,10627.572937760622
lightgbm,8,0.5444711538461539,10991.685063557185
lightgbm,9,0.5516826923076923,11792.476320843924
lightgbm,10,0.5516826923076923,11600.623982425335
lightgbm,11,0.5673076923076923,11195.613089796932
lightgbm,12,0.6057692307692307,11226.501651008022
lightgbm,13,0.5516826923076923,10865.26175777776
lightgbm,14,0.5733173076923077,11381.146330678697
lightgbm,15,0.5528846153846154,11925.65014135943
lightgbm,16,0.5420673076923077,12098.54968959706
lightgbm,17,0.5372596153846154,11801.556700452084
lightgbm,18,0.5757211538461539,11684.977213149328
lightgbm,19,0.5661057692307693,10912.267094203862
lightgbm,20,0.6586538461538461,10330.207244649187
lightgbm,21,0.6814903846153846,9797.562161400532
lightgbm,22,0.6862980769230769,10064.160591551105
lightgbm,23,0.7043269230769231,10046.300552887102
lightgbm,24,0.7223557692307693,10268.310579764819
timesfm,1,0.9278846153846154,6139.999624399038
timesfm,2,0.8762019230769231,7011.091928335337
timesfm,3,0.8605769230769231,8220.829909104566
timesfm,4,0.8245192307692307,9337.69970703125
timesfm,5,0.7956730769230769,9671.6005859375
timesfm,6,0.7860576923076923,10176.083974984977
timesfm,7,0.7680288461538461,10925.908259465145
timesfm,8,0.8004807692307693,11815.074688251201
timesfm,9,0.7848557692307693,11694.691838191105
timesfm,10,0.7848557692307693,12109.660691481371
timesfm,11,0.8076923076923077,12528.408766526441
timesfm,12,0.8209134615384616,12915.742638221154
timesfm,13,0.796875,12375.376079852764
timesfm,14,0.8016826923076923,12931.53183218149
timesfm,15,0.7848557692307693,13114.893667367789
timesfm,16,0.7800480769230769,13074.204758864184
timesfm,17,0.796875,13318.325251652645
timesfm,18,0.7956730769230769,13444.151282677283
timesfm,19,0.8185096153846154,14371.661189152645
timesfm,20,0.8112980769230769,14200.885319636418
timesfm,21,0.8052884615384616,14245.019014798678
timesfm,22,0.7740384615384616,13755.945199819711
timesfm,23,0.7896634615384616,13804.578951322115
timesfm,24,0.828125,14200.20477764423
timesfm_ctx896,1,0.9350961538461539,6048.615938626803
timesfm_ctx896,2,0.8870192307692307,6935.923189603365
timesfm_ctx896,3,0.8701923076923077,8114.298349233774
timesfm_ctx896,4,0.8209134615384616,9177.737088716947
timesfm_ctx896,5,0.8161057692307693,9567.56094125601
timesfm_ctx896,6,0.8052884615384616,10033.446627103365
timesfm_ctx896,7,0.7848557692307693,10734.334491436299
timesfm_ctx896,8,0.8185096153846154,11581.593346228967
timesfm_ctx896,9,0.7944711538461539,11488.794996995191
timesfm_ctx896,10,0.796875,11876.520564152645
timesfm_ctx896,11,0.8197115384615384,12305.514235276441
timesfm_ctx896,12,0.8329326923076923,12634.950420673076
timesfm_ctx896,13,0.8076923076923077,12142.508075420674
timesfm_ctx896,14,0.8185096153846154,12654.658766526441
timesfm_ctx896,15,0.8004807692307693,12857.347083458533
timesfm_ctx896,16,0.7872596153846154,12832.43359375
timesfm_ctx896,17,0.8064903846153846,13028.512563852164
timesfm_ctx896,18,0.8088942307692307,13162.824115459736
timesfm_ctx896,19,0.8209134615384616,14048.090623121996
timesfm_ctx896,20,0.8209134615384616,13900.099196213941
timesfm_ctx896,21,0.8100961538461539,13959.405827448918
timesfm_ctx896,22,0.7824519230769231,13476.01962515024
timesfm_ctx896,23,0.8052884615384616,13508.494225135217
timesfm_ctx896,24,0.828125,13906.794837364783
