model,h,MAE,RMSE
lightgbm,1,2332.615442452407,3342.3010051315414
lightgbm,2,3646.655154794217,5188.173048029431
lightgbm,3,4829.015940676517,6435.5712259297115
lightgbm,4,5433.26216448718,7794.785268965062
lightgbm,5,5431.734013339766,7161.255726780742
lightgbm,6,5110.723790262398,6925.103633737953
lightgbm,7,5577.294479052121,7460.594079835907
lightgbm,8,5774.012314843085,7869.45076850833
lightgbm,9,5814.158905579521,7726.643259987765
lightgbm,10,6135.979757417424,8621.815899030858
lightgbm,11,5603.495063853125,7398.608710424978
lightgbm,12,5390.481661086204,7079.716994407316
lightgbm,13,5927.728864818337,7924.238357149519
lightgbm,14,6106.535645122941,8240.759361503722
lightgbm,15,6333.554232872707,8149.745730231087
lightgbm,16,6798.762284846506,9288.159070077047
lightgbm,17,6110.0287612531265,7908.66585986259
lightgbm,18,5822.621482783181,7543.943063689008
lightgbm,19,5512.118951940236,7558.6283580217105
lightgbm,20,4655.785877900025,6928.134047736898
lightgbm,21,4389.561690130003,6628.843474407911
lightgbm,22,4483.539742626684,7490.584803933565
lightgbm,23,4273.920089635318,6340.073100437898
lightgbm,24,4051.0597585770984,6206.528748313436
seasonal_naive_daily,1,5508.728305288461,8330.28067728492
seasonal_naive_daily,2,5533.403834134616,8468.186501245333
seasonal_naive_daily,3,5711.118329326922,8371.205996930623
seasonal_naive_daily,4,5914.483064903847,9752.479679292484
seasonal_naive_daily,5,5666.2615625,8406.75683914406
seasonal_naive_daily,6,5619.190324519231,8267.275791007489
seasonal_naive_daily,7,5512.712680288461,8331.362440811166
seasonal_naive_daily,8,5537.043978365385,8469.169734307958
seasonal_naive_daily,9,5714.862932692307,8372.080293078498
seasonal_naive_daily,10,5918.663185096153,9753.241643841488
seasonal_naive_daily,11,5669.532536057693,8407.357798136145
seasonal_naive_daily,12,5622.749050480769,8268.04005773681
seasonal_naive_daily,13,5513.644134615384,8331.578226728441
seasonal_naive_daily,14,5536.848497596154,8469.14918163127
seasonal_naive_daily,15,5714.182884615384,8372.029819416872
seasonal_naive_daily,16,5919.542079326923,9753.291842982148
seasonal_naive_daily,17,5668.697596153846,8407.227896360679
seasonal_naive_daily,18,5624.032824519231,8268.260990791843
seasonal_naive_daily,19,5514.927932692308,8331.798913580118
seasonal_naive_daily,20,5538.540384615385,8469.329983082369
seasonal_naive_daily,21,5713.352067307692,8371.911608149467
seasonal_naive_daily,22,5918.769375,9753.234798850895
seasonal_naive_daily,23,5668.662307692307,8407.222951281523
seasonal_naive_daily,24,5626.944014423077,8268.898610396522
seasonal_naive_weekly,1,8112.965769230768,11379.179114887054
seasonal_naive_weekly,2,8302.324194711538,11692.335402793775
seasonal_naive_weekly,3,8575.882716346156,11909.739788974937
seasonal_naive_weekly,4,8773.865841346154,12958.881061016842
seasonal_naive_weekly,5,8206.819230769232,11359.739668736405
seasonal_naive_weekly,6,7972.469146634616,11046.877966949645
seasonal_naive_weekly,7,8115.028052884615,11379.89359117969
seasonal_naive_weekly,8,8304.250132211539,11692.955056943192
seasonal_naive_weekly,9,8575.889879807692,11909.741455282903
seasonal_naive_weekly,10,8771.768533653845,12958.633529081188
seasonal_naive_weekly,11,8205.17751201923,11359.624578285726
seasonal_naive_weekly,12,7974.696213942307,11047.233120609346
seasonal_naive_weekly,13,8117.6543990384625,11380.743527316028
seasonal_naive_weekly,14,8308.357608173075,11694.49285019289
seasonal_naive_weekly,15,8581.45578125,11912.651692397898
seasonal_naive_weekly,16,8778.12389423077,12961.113786667527
seasonal_naive_weekly,17,8211.385588942308,11361.14112867125
seasonal_naive_weekly,18,7978.975853365384,11048.205380381925
seasonal_naive_weekly,19,8120.678088942308,11381.247803053071
seasonal_naive_weekly,20,8314.070204326925,11695.824670541831
seasonal_naive_weekly,21,8589.595072115386,11915.568846953498
seasonal_naive_weekly,22,8786.589951923077,12964.234028337893
seasonal_naive_weekly,23,8223.459278846154,11367.177639283134
seasonal_naive_weekly,24,7991.33344951923,11055.352210206138
timesfm,1,1296.9880495042069,2015.4957679652796
timesfm,2,1821.4753278996393,2845.3960333511945
timesfm,3,2232.359604492188,3326.620627765544
timesfm,4,2852.3975706129804,5338.343915246968
timesfm,5,2962.4590797776445,4347.3485814253
timesfm,6,3244.5864851262018,4851.01985989966
timesfm,7,3592.3443276742787,5548.529599874614
timesfm,8,3663.1813003305288,5787.361295155833
timesfm,9,3821.471126427284,5848.636217924924
timesfm,10,3979.7239032451917,6811.637262217936
timesfm,11,3877.373085186298,5770.200987428923
timesfm,12,3848.4259682992783,5781.003388592
timesfm,13,3959.466852463943,6095.421110696554
