model,h,MAE,RMSE,sMAPE,MASE,MAE_skill_%
lightgbm,1,2332.615442452407,3342.3010051315414,1.1866458289322184,0.5247493093880713,57.656008552589874
lightgbm,2,3646.655154794217,5188.173048029431,1.8538864055602973,0.8203580149683241,34.097433259820484
lightgbm,3,4829.015940676517,6435.5712259297115,2.465129701319662,1.0863439955751266,15.445353042691456
lightgbm,4,5433.26216448718,7794.785268965062,2.79345702387814,1.2222762983775266,8.136313776468484
lightgbm,5,5431.734013339766,7161.255726780742,2.8292315206841536,1.221932522783551,4.139017349858431
lightgbm,6,5110.723790262398,6925.103633737953,2.6620280357022232,1.1497174933360659,9.048750885659596
lightgbm,7,5577.294479052121,7460.594079835907,2.9014356201938205,1.2546780634614687,-1.1715067065726226
lightgbm,8,5774.012314843085,7869.45076850833,3.0116050544148587,1.2989320568960212,-4.279690343865683
lightgbm,9,5814.158905579521,7726.643259987765,2.992836295535292,1.307963505192137,-1.7375040146489606
lightgbm,10,6135.979757417424,8621.815899030858,3.158228101530346,1.3803608951241322,-3.6717171686420302
lightgbm,11,5603.495063853125,7398.608710424978,2.9036325340602795,1.2605721935138,1.1647780797548135
lightgbm,12,5390.481661086204,7079.716994407316,2.8079606293627424,1.2126523204142607,4.1308510714115005
lightgbm,13,5927.728864818337,7924.238357149519,3.0768742989489906,1.3335124047634883,-7.510182378352526
lightgbm,14,6106.535645122941,8240.759361503722,3.169862551234929,1.3737370953709116,-10.289014549957788
lightgbm,15,6333.554232872707,8149.745730231087,3.27162394547306,1.4248075997377605,-10.839193647877309
lightgbm,16,6798.762284846506,9288.159070077047,3.5287252622748295,1.5294616286669211,-14.852841549857754
lightgbm,17,6110.0287612531265,7908.66585986259,3.187815369286167,1.3745229129744339,-7.785406746669987
lightgbm,18,5822.621482783181,7543.943063689008,3.023553534117679,1.3098672615775422,-3.5310721765022146
lightgbm,19,5512.118951940236,7558.6283580217105,2.8463644280672904,1.2400160612220392,0.05093413343482123
lightgbm,20,4655.785877900025,6928.134047736898,2.4190691660076458,1.0473738532392576,15.938396137137879
lightgbm,21,4389.561690130003,6628.843474407911,2.2667598807731486,0.9874835875176845,23.17011732486319
lightgbm,22,4483.539742626684,7490.584803933565,2.3354927395660683,1.0086250569805728,24.248784526653676
lightgbm,23,4273.920089635318,6340.073100437898,2.2053812510899498,0.961468647853083,24.604432974678005
lightgbm,24,4051.0597585770984,6206.528748313436,2.0969812839879216,0.911333592290797,28.006041144298678
seasonal_naive_daily,1,5508.728305288461,8330.28067728492,2.8692096688091024,1.2392532953342221,0.0
seasonal_naive_daily,2,5533.403834134616,8468.186501245333,2.88128163616545,1.2448043460925897,0.0
seasonal_naive_daily,3,5711.118329326922,8371.205996930623,2.9559621446193303,1.2847833143027838,0.0
seasonal_naive_daily,4,5914.483064903847,9752.479679292484,3.097711100725831,1.3305326061087588,0.0
seasonal_naive_daily,5,5666.2615625,8406.75683914406,2.944596995684308,1.2746922564346843,0.0
seasonal_naive_daily,6,5619.190324519231,8267.275791007489,2.92991157815821,1.2641030272060203,0.0
seasonal_naive_daily,7,5512.712680288461,8331.362440811166,2.871066800195988,1.2401496274048849,0.0
seasonal_naive_daily,8,5537.043978365385,8469.169734307958,2.8829623791988492,1.245623239398535,0.0
seasonal_naive_daily,9,5714.862932692307,8372.080293078498,2.957829981414655,1.2856257069210253,0.0
seasonal_naive_daily,10,5918.663185096153,9753.241643841488,3.0999057563786248,1.3314729733652517,0.0
seasonal_naive_daily,11,5669.532536057693,8407.357798136145,2.9462949423677975,1.2754281004508852,0.0
seasonal_naive_daily,12,5622.749050480769,8268.04005773681,2.9317242257115996,1.264903604513635,0.0
seasonal_naive_daily,13,5513.644134615384,8331.578226728441,2.8715069357506158,1.240359169023226,0.0
seasonal_naive_daily,14,5536.848497596154,8469.14918163127,2.8828518034172057,1.245579263697789,0.0
seasonal_naive_daily,15,5714.182884615384,8372.029819416872,2.9574872430967503,1.2854727220988287,0.0
seasonal_naive_daily,16,5919.542079326923,9753.291842982148,3.100316545942221,1.3316706909710894,0.0
seasonal_naive_daily,17,5668.697596153846,8407.227896360679,2.9458301959476216,1.2752402708884332,0.0
seasonal_naive_daily,18,5624.032824519231,8268.260990791843,2.9322857289827615,1.2651924045995098,0.0
seasonal_naive_daily,19,5514.927932692308,8331.798913580118,2.872062308817755,1.240647974516836,0.0
seasonal_naive_daily,20,5538.540384615385,8469.329983082369,2.8836373858299207,1.245959873604054,0.0
seasonal_naive_daily,21,5713.352067307692,8371.911608149467,2.9569826269758,1.2852858199629238,0.0
seasonal_naive_daily,22,5918.769375,9753.234798850895,3.0998789359870247,1.3314968620344654,0.0
seasonal_naive_daily,23,5668.662307692307,8407.222951281523,2.945756542504649,1.2752323323335026,0.0
seasonal_naive_daily,24,5626.944014423077,8268.898610396522,2.933661308123891,1.2658473110464696,0.0
seasonal_naive_weekly,1,8112.965769230768,11379.179114887054,4.182349342709186,1.8251071766964735,-47.27474871908641
seasonal_naive_weekly,2,8302.324194711538,11692.335402793775,4.278739767853962,1.8677055841276522,-50.04009184176888
seasonal_naive_weekly,3,8575.882716346156,11909.739788974937,4.392286305053076,1.9292457946108963,-50.16118073247586
seasonal_naive_weekly,4,8773.865841346154,12958.881061016842,4.527754226053387,1.9737844297512925,-48.34543856266487
seasonal_naive_weekly,5,8206.819230769232,11359.739668736405,4.2123159300146265,1.8462206179563023,-44.836575937174295
seasonal_naive_weekly,6,7972.469146634616,11046.877966949645,4.104573847606644,1.793500807152261,-41.87932221919761
seasonal_naive_weekly,7,8115.028052884615,11379.89359117969,4.18255091300852,1.8255711116869666,-47.205713838508686
seasonal_naive_weekly,8,8304.250132211539,11692.955056943192,4.278929219121219,1.8681388464454165,-49.97623577956614
seasonal_naive_weekly,9,8575.889879807692,11909.741455282903,4.391587360757956,1.9292474061159157,-50.06291455825935
seasonal_naive_weekly,10,8771.768533653845,12958.633529081188,4.526128868764895,1.9733126156909533,-48.20523248800719
seasonal_naive_weekly,11,8205.17751201923,11359.624578285726,4.2112326947376335,1.8458512939929117,-44.72405722755932
seasonal_naive_weekly,12,7974.696213942307,11047.233120609346,4.105655481714049,1.7940018121659476,-41.829132731087036
seasonal_naive_weekly,13,8117.6543990384625,11380.743527316028,4.183846462575595,1.826161939178444,-47.228479039384474
seasonal_naive_weekly,14,8308.357608173075,11694.49285019289,4.281012037182826,1.8690628715268411,-50.05571511989508
seasonal_naive_weekly,15,8581.45578125,11912.651692397898,4.394306985671684,1.9304995211816134,-50.17817865708039
seasonal_naive_weekly,16,8778.12389423077,12961.113786667527,4.5291529938574175,1.9747423288845465,-48.290590329393844
seasonal_naive_weekly,17,8211.385588942308,11361.14112867125,4.214205997126002,1.8472478739943663,-44.8548886169841
seasonal_naive_weekly,18,7978.975853365384,11048.205380381925,4.107685362801908,1.7949645674452013,-41.87285356122481
seasonal_naive_weekly,19,8120.678088942308,11381.247803053071,4.185278462869765,1.8268421538250461,-47.24903367826805
seasonal_naive_weekly,20,8314.070204326925,11695.824670541831,4.283736406647966,1.870347987295171,-50.11301944138993
seasonal_naive_weekly,21,8589.595072115386,11915.568846953498,4.398188230055303,1.9323305504986574,-50.34247795205571
seasonal_naive_weekly,22,8786.589951923077,12964.234028337893,4.533236249515109,1.9766468682468543,-48.45298735639749
seasonal_naive_weekly,23,8223.459278846154,11367.177639283134,4.2201776467995815,1.8499639927010776,-45.0687804720175
