model,target_hour,MAE
lightgbm,0,5968.546838532862
lightgbm,1,4557.278988414908
lightgbm,2,4811.103565106961
lightgbm,3,4717.604673788426
lightgbm,4,4318.9893808484185
lightgbm,5,4169.130345759227
lightgbm,6,4654.021841509343
lightgbm,7,6255.071471355122
lightgbm,8,6876.456170761372
lightgbm,9,6713.853594468898
lightgbm,10,6613.541516552515
lightgbm,11,5676.681029241223
lightgbm,12,5112.509945917498
lightgbm,13,4147.446619719071
lightgbm,14,3747.721900062864
lightgbm,15,4133.576356823471
lightgbm,16,5137.8890381722
lightgbm,17,4732.193126164567
lightgbm,18,4639.808066749178
lightgbm,19,4389.960658774
lightgbm,20,4747.707356729073
lightgbm,21,5801.256144177953
lightgbm,22,6781.12401380466
lightgbm,23,6841.173426916318
seasonal_naive_daily,0,5033.120625
seasonal_naive_daily,1,4983.754759615385
seasonal_naive_daily,2,5009.51235576923
seasonal_naive_daily,3,4939.847752403845
seasonal_naive_daily,4,4850.5503605769245
seasonal_naive_daily,5,4621.448305288462
seasonal_naive_daily,6,5131.765312500001
seasonal_naive_daily,7,5658.8788221153845
seasonal_naive_daily,8,5341.920817307692
seasonal_naive_daily,9,5737.10298076923
seasonal_naive_daily,10,5902.869663461537
seasonal_naive_daily,11,6063.2984375
seasonal_naive_daily,12,6005.626682692307
seasonal_naive_daily,13,5486.128509615386
seasonal_naive_daily,14,6243.082127403847
seasonal_naive_daily,15,6946.767932692306
seasonal_naive_daily,16,7769.769026442308
seasonal_naive_daily,17,6883.762644230767
seasonal_naive_daily,18,6322.40359375
seasonal_naive_daily,19,5921.250961538461
seasonal_naive_daily,20,5551.321394230771
seasonal_naive_daily,21,5229.797548076923
seasonal_naive_daily,22,5148.268653846155
seasonal_naive_daily,23,5104.644615384617
seasonal_naive_weekly,0,8695.174759615384
seasonal_naive_weekly,1,8980.97435096154
seasonal_naive_weekly,2,9120.567379807691
seasonal_naive_weekly,3,9132.628942307692
seasonal_naive_weekly,4,8955.882211538463
seasonal_naive_weekly,5,8285.762391826924
seasonal_naive_weekly,6,8098.036201923077
seasonal_naive_weekly,7,8361.996778846153
seasonal_naive_weekly,8,8039.607692307694
seasonal_naive_weekly,9,8330.432139423077
seasonal_naive_weekly,10,8571.042740384615
seasonal_naive_weekly,11,8678.447932692308
seasonal_naive_weekly,12,8644.881586538462
seasonal_naive_weekly,13,8709.74325721154
seasonal_naive_weekly,14,9174.255576923077
seasonal_naive_weekly,15,9466.755540865386
seasonal_naive_weekly,16,9718.565673076924
seasonal_naive_weekly,17,7623.197439903846
seasonal_naive_weekly,18,6479.382115384614
seasonal_naive_weekly,19,6413.611923076921
seasonal_naive_weekly,20,6894.571490384616
seasonal_naive_weekly,21,7393.006826923078
seasonal_naive_weekly,22,7864.857596153846
seasonal_naive_weekly,23,8259.433846153846
timesfm,0,4074.0243457031243
timesfm,1,3141.839610501803
timesfm,2,3276.0802828275237
timesfm,3,3388.655194185698
timesfm,4,3513.286694711538
timesfm,5,3494.7412530048077
timesfm,6,3770.353559194712
timesfm,7,3400.620782752405
timesfm,8,3483.694790414663
timesfm,9,3636.468876953125
timesfm,10,3888.533275991586
timesfm,11,4090.036501652643
timesfm,12,4203.93255483774
timesfm,13,3354.750471003606
timesfm,14,3750.7914054987973
timesfm,15,4192.532197265626
timesfm,16,4667.237562349759
timesfm,17,4061.411674429087
timesfm,18,3747.9879492187497
timesfm,19,3284.885848106971
timesfm,20,3411.752714092548
timesfm,21,3589.809275090144
timesfm,22,3884.070453725961
timesfm,23,3959.386349158655
timesfm_ctx896,0,3878.2861207932683
timesfm_ctx896,1,3010.477017728365
timesfm_ctx896,2,3144.2276134314898
timesfm_ctx896,3,3281.0068641075723
timesfm_ctx896,4,3407.604452373798
timesfm_ctx896,5,3431.528939302885
timesfm_ctx896,6,3752.3135990084143
timesfm_ctx896,7,3362.4501547475966
timesfm_ctx896,8,3449.760258413461
timesfm_ctx896,9,3613.9083285757206
timesfm_ctx896,10,3863.321700721153
timesfm_ctx896,11,4082.1733015324508
timesfm_ctx896,12,4160.526118539663
timesfm_ctx896,13,3320.021932091346
timesfm_ctx896,14,3696.0571747295667
timesfm_ctx896,15,4146.340911959135
timesfm_ctx896,16,4640.570211838942
timesfm_ctx896,17,3967.6990557391828
timesfm_ctx896,18,3709.5923016826923
timesfm_ctx896,19,3223.1110945012015
timesfm_ctx896,20,3347.958722956731
timesfm_ctx896,21,3466.3081017127406
timesfm_ctx896,22,3687.840344801683
timesfm_ctx896,23,3768.0463198617795
