model,month,MAE,bias,n
lightgbm,2024-11,2589.1998979988743,-150.14222165091303,248
lightgbm,2024-12,3396.065996405925,-596.544641644387,2976
lightgbm,2025-01,6469.965239290899,119.25789807688852,2976
lightgbm,2025-02,6863.841135280328,1422.621354797631,2688
lightgbm,2025-03,5170.951346799654,1045.4305387370187,2976
lightgbm,2025-04,4588.037595954512,786.3510294189982,2880
lightgbm,2025-05,5438.874984885375,-766.4814958576212,2976
lightgbm,2025-06,4987.241364464716,1078.9258619367952,2248
seasonal_naive_daily,2024-11,1950.9598387096785,-238.24701612903334,248
seasonal_naive_daily,2024-12,4277.531948924732,205.29366935483873,2976
seasonal_naive_daily,2025-01,6366.307553763441,583.0187903225806,2976
seasonal_naive_daily,2025-02,4080.7601488095233,101.74744047619056,2688
seasonal_naive_daily,2025-03,5558.089462365591,17.805537634408612,2976
seasonal_naive_daily,2025-04,5993.982499999999,367.25188888888886,2880
seasonal_naive_daily,2025-05,7489.39752688172,-456.7506720430107,2976
seasonal_naive_daily,2025-06,6155.212255338078,407.31949733096087,2248
seasonal_naive_weekly,2024-11,2229.97737903226,-831.592379032258,248
seasonal_naive_weekly,2024-12,4955.282809139785,716.5101209677416,2976
seasonal_naive_weekly,2025-01,8940.663951612903,3789.7810752688174,2976
seasonal_naive_weekly,2025-02,3150.9311904761903,1290.4383333333337,2688
seasonal_naive_weekly,2025-03,6370.927930107528,1348.0668010752688,2976
seasonal_naive_weekly,2025-04,8473.3325,2361.2785555555556,2880
seasonal_naive_weekly,2025-05,12943.967715053765,-4280.375537634409,2976
seasonal_naive_weekly,2025-06,15146.539684163701,2897.849034697509,2248
timesfm,2024-11,1694.4519858870974,384.7056955645161,248
timesfm,2024-12,2145.587198525706,150.51484826528866,2976
timesfm,2025-01,4573.002645959341,602.2048519405233,2976
timesfm,2025-02,2212.3993863932287,408.30965611049095,2688
timesfm,2025-03,3588.4880128528225,-72.55516801075287,2976
timesfm,2025-04,4199.575762152778,362.8528263888887,2880
timesfm,2025-05,4691.738121429771,-827.6331932543688,2976
timesfm,2025-06,4969.59029498443,513.6999585742889,2248
timesfm_ctx896,2024-11,2184.7828427419354,1489.9231854838708,248
timesfm_ctx896,2024-12,2127.0601574050743,159.60483377436123,2976
timesfm_ctx896,2025-01,4342.647822160618,644.0794581653217,2976
timesfm_ctx896,2025-02,2026.3038120814724,185.92790155319926,2688
timesfm_ctx896,2025-03,3425.8191343245967,-289.52357148857544,2976
timesfm_ctx896,2025-04,4071.4030744357638,27.358984157985915,2880
timesfm_ctx896,2025-05,4659.02497563844,-1119.1908261928768,2976
timesfm_ctx896,2025-06,5203.5329309386125,387.9349938834526,2248
